Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visión libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medición
2022/09/19/ 01:02:57,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-2,-5,0,38,1,134,70,130,0
2022/09/19/ 01:02:57,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-2,-5,0,39,1,134,70,130,0
2022/09/19/ 01:02:58,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-2,-5,0,37,1,134,70,130,0
2022/09/19/ 01:02:58,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-2,-5,0,38,1,134,70,130,0
2022/09/19/ 01:02:59,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-2,-5,0,39,1,134,70,130,0
2022/09/19/ 01:02:59,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-2,-5,0,37,1,134,70,130,0
2022/09/19/ 01:03:00,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-2,-5,0,38,1,134,70,130,0
2022/09/19/ 01:03:00,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-2,-5,0,39,1,134,70,130,0
2022/09/19/ 01:03:01,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-2,-5,0,38,1,134,70,130,0
2022/09/19/ 01:03:02,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-2,-5,0,39,1,134,70,130,0
2022/09/19/ 01:03:02,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-2,-5,0,37,1,134,70,130,0
2022/09/19/ 01:03:02,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-2,-5,0,38,1,134,70,130,0
2022/09/19/ 01:03:03,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-2,-5,0,39,1,134,70,130,0
2022/09/19/ 01:03:03,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-2,-5,0,37,1,134,70,130,0
2022/09/19/ 01:03:04,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-2,-5,0,38,1,134,70,130,0
2022/09/19/ 01:03:04,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-2,-5,0,39,1,134,70,130,0
2022/09/19/ 01:03:05,+UUDF:CCF957966B2C,:CCF957966B2C,-48,-2,-5,0,39,1,134,70,130,0
2022/09/19/ 01:03:06,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-2,-5,0,37,1,134,70,130,0
2022/09/19/ 01:03:06,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-2,-5,0,38,1,134,70,130,0
2022/09/19/ 01:03:07,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-2,-5,0,39,1,134,70,130,0
2022/09/19/ 01:03:07,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-2,-5,0,37,1,134,70,130,0
2022/09/19/ 01:03:08,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-2,-5,0,39,1,134,70,130,0
2022/09/19/ 01:03:08,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-2,-5,0,37,1,134,70,130,0
