,hora,Id_tag,Id_Ant,RSSI,Ang_azimuth,Ang_elevacion,Canal,Altura_ant(cm),Distancia_entre_ant_tag(cm),Error_dato_medido,Distancia_entre_ant
0,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,24,-26,39,170,261,0,120
1,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-60,24,-26,37,170,261,0,120
2,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-76,24,-26,38,170,261,0,120
3,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-64,24,-26,39,170,261,0,120
4,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,24,-26,37,170,261,0,120
5,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-76,24,-26,38,170,261,0,120
6,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-64,24,-26,39,170,261,0,120
7,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,24,-26,37,170,261,0,120
8,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-76,24,-26,38,170,261,0,120
9,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-64,24,-26,39,170,261,0,120
10,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-65,24,-26,37,170,261,0,120
11,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,16,-25,37,170,261,0,120
12,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,17,-25,38,170,261,0,120
13,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,16,-24,37,170,261,0,120
14,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,17,-25,38,170,261,0,120
15,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,16,-24,37,170,261,0,120
16,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,16,-25,38,170,261,0,120
17,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,16,-25,37,170,261,0,120
18,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,16,-25,38,170,261,0,120
19,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-65,16,-25,37,170,261,0,120
20,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,16,-25,38,170,261,0,120
21,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,15,-25,37,170,261,0,120
22,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,24,-39,38,170,261,0,120
23,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,15,-25,37,170,261,0,120
24,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,24,-39,38,170,261,0,120
25,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,15,-25,37,170,261,0,120
26,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,24,-39,38,170,261,0,120
27,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,15,-25,37,170,261,0,120
28,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,24,-39,38,170,261,0,120
29,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,15,-25,37,170,261,0,120
30,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,24,-39,38,170,261,0,120
31,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,15,-25,37,170,261,0,120
32,2022/12/09/ 15:33:11,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,24,-39,38,170,261,0,120
33,2022/12/09/ 15:33:12,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,15,-25,37,170,261,0,120
34,2022/12/09/ 15:33:12,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,24,-39,38,170,261,0,120
35,2022/12/09/ 15:33:12,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,15,-25,37,170,261,0,120
36,2022/12/09/ 15:33:12,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,24,-39,38,170,261,0,120
37,2022/12/09/ 15:33:12,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,15,-25,37,170,261,0,120
38,2022/12/09/ 15:33:12,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,24,-39,38,170,261,0,120
39,2022/12/09/ 15:33:12,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,15,-25,37,170,261,0,120
40,2022/12/09/ 15:33:12,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,24,-39,38,170,261,0,120
41,2022/12/09/ 15:33:12,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,14,-25,37,170,261,0,120
42,2022/12/09/ 15:33:12,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,24,-38,38,170,261,0,120
43,2022/12/09/ 15:33:12,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,14,-25,37,170,261,0,120
44,2022/12/09/ 15:33:12,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,24,-38,38,170,261,0,120
45,2022/12/09/ 15:33:12,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,14,-25,37,170,261,0,120
46,2022/12/09/ 15:33:12,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,24,-38,38,170,261,0,120
47,2022/12/09/ 15:33:12,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,15,-25,37,170,261,0,120
48,2022/12/09/ 15:33:12,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,24,-38,38,170,261,0,120
49,2022/12/09/ 15:33:12,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,15,-25,37,170,261,0,120
50,2022/12/09/ 15:33:12,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,24,-38,38,170,261,0,120
51,2022/12/09/ 15:33:12,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,15,-25,37,170,261,0,120
52,2022/12/09/ 15:33:12,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,24,-38,38,170,261,0,120
53,2022/12/09/ 15:33:12,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,15,-24,37,170,261,0,120
54,2022/12/09/ 15:33:12,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,24,-37,38,170,261,0,120
55,2022/12/09/ 15:33:12,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,15,-24,37,170,261,0,120
56,2022/12/09/ 15:33:12,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,24,-37,38,170,261,0,120
57,2022/12/09/ 15:33:12,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,15,-24,37,170,261,0,120
