Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visi�n libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medici�n
2022/09/19/ 00:07:08,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-7,-26,0,37,0,134,50,130,1
2022/09/19/ 00:07:09,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-7,-26,0,38,0,134,50,130,1
2022/09/19/ 00:07:09,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-6,-26,0,37,0,134,50,130,1
2022/09/19/ 00:07:10,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-6,-26,0,38,0,134,50,130,1
2022/09/19/ 00:07:10,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-7,-26,0,39,0,134,50,130,1
2022/09/19/ 00:07:11,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-7,-26,0,37,0,134,50,130,1
2022/09/19/ 00:07:11,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-7,-26,0,38,0,134,50,130,1
2022/09/19/ 00:07:12,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-7,-26,0,39,0,134,50,130,1
2022/09/19/ 00:07:12,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-7,-26,0,37,0,134,50,130,1
2022/09/19/ 00:07:13,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-7,-26,0,38,0,134,50,130,1
2022/09/19/ 00:07:13,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-7,-26,0,39,0,134,50,130,1
2022/09/19/ 00:07:14,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-7,-25,0,39,0,134,50,130,1
2022/09/19/ 00:07:15,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-7,-25,0,38,0,134,50,130,1
2022/09/19/ 00:07:15,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-7,-25,0,39,0,134,50,130,1
2022/09/19/ 00:07:15,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-7,-25,0,37,0,134,50,130,1
